% NYC Restaurant Review Dataset
@RELATION nyc_restaurant_review

@ATTRIBUTE count_of_food_adjectives_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_adjectives_in_context NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_context NUMERIC
@ATTRIBUTE has_price_mention {true, false}
@ATTRIBUTE price_distance INTEGER
@ATTRIBUTE has_meal_name_mentioned {true, false}
@ATTRIBUTE has_dish_quantity_mention {true, false}
@ATTRIBUTE meal_name_context_feature NUMERIC
@ATTRIBUTE dish_quantity_context_feature NUMERIC
@ATTRIBUTE country_context_feature NUMERIC
@ATTRIBUTE comma_distance INTEGER
@ATTRIBUTE semi_colon_distance INTEGER
@ATTRIBUTE dish_name_starts_with_capital {true, false}
@ATTRIBUTE count_capital_letters INTEGER
@ATTRIBUTE count_commas NUMERIC
@ATTRIBUTE count_semicolons NUMERIC
@ATTRIBUTE dish_name STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE class_label {positive, negative}

@DATA
0,1,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'cheese and pickles',datasets/Set_J_TEST/review-076.txt,positive
0,0,0,0,true,1,true,false,1,0,0,-1,-1,false,0,0,0,gujeolpan,datasets/Set_J_TEST/review-077.txt,positive
0,0,2,0,true,7,true,false,0,0,0,5,-1,false,0,0,0,pancakes,datasets/Set_J_TEST/review-077.txt,positive
0,0,0,2,true,1,false,false,0,0,0,12,50,true,1,0,0,'Wagyu ',datasets/Set_J_TEST/review-077.txt,positive
0,0,0,0,true,1,false,false,0,0,0,5,-1,false,0,0,0,bibimbap,datasets/Set_J_TEST/review-077.txt,positive
0,0,0,1,true,1,false,false,0,0,0,5,-1,false,0,0,0,'bulgogi jungol for two',datasets/Set_J_TEST/review-077.txt,positive
0,0,0,0,true,1,false,false,0,0,0,10,-1,false,0,0,0,'gently stuffed tacos',datasets/Set_J_TEST/review-078.txt,positive
0,0,0,0,true,1,false,false,0,0,0,10,-1,false,0,0,0,'taquitos dorados striped with salsa verde',datasets/Set_J_TEST/review-078.txt,positive
1,0,0,0,true,48,false,false,0,0,0,-1,-1,false,0,0,0,'grilled corn',datasets/Set_J_TEST/review-078.txt,positive
0,0,0,0,true,1,false,false,0,0,0,4,-1,false,0,0,0,gordita,datasets/Set_J_TEST/review-078.txt,positive
0,0,0,0,true,1,false,false,0,0,0,4,-1,true,1,0,0,'Ricardos guacamole',datasets/Set_J_TEST/review-078.txt,positive
0,0,0,0,true,10,false,false,0,0,0,13,-1,false,0,0,0,'houseground balls',datasets/Set_J_TEST/review-079.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,55,18,false,0,0,0,beef,datasets/Set_J_TEST/review-079.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,17,31,false,0,0,0,chicken,datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,salmon,datasets/Set_J_TEST/review-079.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,0,-1,false,0,0,0,lamb,datasets/Set_J_TEST/review-079.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'cherrypepperspiked pork',datasets/Set_J_TEST/review-079.txt,positive
0,0,1,0,false,-1,false,false,0,0,0,0,-1,false,0,0,0,'mushroomy vegetable balls',datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,false,-1,true,false,0,0,0,-1,-1,false,0,0,0,sandwich,datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,1,false,false,0,0,0,-1,-1,false,0,0,0,'soft brioche smash',datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,1,false,false,0,0,0,-1,-1,false,0,0,0,sliders,datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,1,false,false,0,0,0,-1,-1,false,0,0,0,'crusty baguette hero',datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,39,false,false,0,0,0,0,-1,false,0,0,0,'pasty white beans',datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,25,false,false,0,0,0,0,-1,false,0,0,0,broccoli,datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,true,6,false,false,0,0,0,9,-1,false,0,0,0,polenta,datasets/Set_J_TEST/review-079.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'baby arugula and apple',datasets/Set_J_TEST/review-079.txt,positive
1,0,0,0,true,13,true,false,0,0,0,16,-1,false,0,0,0,'ice cream sandwiches',datasets/Set_J_TEST/review-079.txt,positive
